cpu,motherboard,gpu,ram,psu,price,type,rating
AMD PRO A12-9800,Asus PRIME A320M-K,GeForce GT 1030,Corsair Vengeance RGB Pro 16 GB,Rosewill LEPTON 600,615.75,Professional,24.445797807551767
AMD Ryzen 5 5600G,ASRock X570 Taichi Razer Edition,GeForce RTX 3070 Ti,Corsair Vengeance Performance 16 GB,Corsair VX550,1420.5700000000002,Gaming,16.979170333035327
AMD Ryzen 3 2300X,Gigabyte B450 AORUS PRO WIFI (rev. 1.0),GeForce RTX 3090,G.Skill Trident Z5 RGB 64 GB,Super Flower Leadex Titanium,3251.5199999999995,All-in-One,13.624458714693437
Intel Core i5-12600K,Gigabyte Z690 AERO D,TITAN V,G.Skill Aegis 16 GB,Corsair TX550M,2830.55,All-in-One,13.170231933723128
Intel Core i9-12900,MSI MPG Z790 CARBON WIFI,GeForce GTX 1650 SUPER,Corsair Vengeance RGB RT 16 GB,SeaSonic PRIME PX,1613.01,Professional,15.521292490437133
Intel Core i9-9900T @ 2.10GHz,ASRock C246 WS,Radeon Pro WX 8200,Corsair Vengeance LPX 16 GB,Antec High Current Gamer Gold,2628.9700000000003,Office,8.151481378638783
Intel Celeron G3930 @ 2.90GHz,Asus ROG STRIX Z390-E GAMING,GeForce RTX 2070,Corsair Vengeance RGB Pro 32 GB,Silverstone Essential,1343.1800000000003,Multimedia,28.034217305201086
AMD Ryzen 5 2400G,ASRock B550M Pro4,Radeon R5 330,Corsair Vengeance LPX 64 GB,EVGA SuperNOVA 1600 P+,1853.51,Professional,12.655178553123534
Intel Celeron G5925 @ 3.60GHz,Asus TUF GAMING B560M-PLUS,Radeon RX 6800 XT,TEAMGROUP T-Create Classic 32 GB,Super Flower Leadex V Platinum Pro,1370.56,Professional,31.25875554517862
AMD Ryzen 9 5900X,Asus TUF GAMING X570-PLUS (WI-FI),GeForce RTX 3060,Mushkin 991741 4 GB,Antec NeoECO,1083.03,Office,20.834141251858217
Intel Core i3-10320 @ 3.80GHz,MSI Z590 PRO WIFI,GeForce RTX 3070 Ti,GeIL EVO V RGB 32 GB,Silverstone Essential,1611.0700000000002,Office,18.551645800616978
AMD Athlon 3000G,NZXT N7 B550,GeForce RTX 2060,Mushkin Redline 32 GB,Lian Li SP850,928.9200000000001,Professional,34.03576196012574
AMD PRO A6-9500E,Asus TUF B450-PLUS GAMING,GeForce RTX 2080 SUPER,Corsair Vengeance 32 GB,Phanteks Revolt X,1311.43,Professional,29.006123087011886
AMD Ryzen 5 2400G,Gigabyte A520I AC,NVIDIA TITAN Xp,PNY XLR8 Gaming EPIC-X RGB 32 GB,Thermaltake Toughpower GF1 ARGB,2134.96,Professional,16.384381908794545
Intel Core i5-8500 @ 3.00GHz,Supermicro MBD-X11SCV-Q-O,GeForce RTX 2060,Kingston FURY Beast RGB 32 GB,Antec Earthwatts Green,1119.72,Gaming,15.819758511056333
Intel Core i9-12900K,ASRock H610M-ITX/ac,GeForce RTX 2080 Ti,Thermaltake TOUGHRAM RC 16 GB,In Win P85,2039.48,Gaming,16.22418459607351
Intel Core i5-11600 @ 2.80GHz,MSI B560M PRO-E,GeForce GTX 1650,Mushkin Essentials 16 GB,EVGA SuperNOVA 750 P6,775.1499999999999,Gaming,24.954524930658582
Intel Core i9-12900KF,MSI MAG B660 TOMAHAWK WIFI DDR4,GeForce GTX 1660 SUPER,G.Skill Ripjaws 8 GB,Corsair RM650 (2019),1347.94,Multimedia,40.28480496164518
Intel Core i5-12600,MSI MAG B760M MORTAR WIFI,Radeon Pro WX 4100,Corsair Vengeance RGB RT 32 GB,be quiet! Pure Power 12 M,1188.8000000000002,Office,30.365074024226104
Intel Core i5-9500 @ 3.00GHz,Asus MAXIMUS VIII FORMULA,Radeon Pro WX 8200,Kingston KTH-PL426LQ/64G 64 GB,Asus TUF Gaming 1000G,4837.74,All-in-One,8.102461066531067
Intel Core i9-10900KF @ 3.70GHz,Asus PRIME B560M-A AC,Radeon RX 590,Addlink Spider 4 32 GB,Antec Earthwatts Green,1270.97,All-in-One,27.944483347364613
Intel Core i9-10900 @ 2.80GHz,NZXT N7 Z490,GeForce RTX 3080 Ti,Kingston ValueRAM 2 GB,Enermax MaxTytan,2234.94,Professional,15.509812343955542
AMD Ryzen 3 2300X,MSI X570-A PRO,GeForce RTX 2080 Ti,G.Skill Ripjaws X 16 GB,EVGA 710 BP,1627.21,All-in-One,20.034537644188518
Intel Core i5-9600T @ 2.30GHz,Supermicro X11SCL-LN4F,GeForce RTX 3080,G.Skill Trident Z 32 GB,Thermaltake Toughpower GF3 TT Premium,2065.2999999999997,Office,12.516341451605095
AMD Ryzen 7 5800X3D,Asus TUF GAMING A520M-PLUS WIFI,GeForce RTX 3090,Patriot Viper 3 16 GB,Xilence XP1050MR9,2691.8499999999995,Office,8.730055538012893
AMD PRO A6-9500E,Asus ROG STRIX B450-F GAMING,GeForce GTX 1660 Ti,PROXMEM SPEAR 32 GB,EVGA 850 B5,971.86,Gaming,12.055028502047618
Intel Core i7-12700KF,Gigabyte B760M DS3H AX DDR4,GeForce GTX 1060 5GB,Kingston FURY Impact 32 GB,EVGA 850 BQ,1210.96,All-in-One,30.282420558895424
Intel Pentium Gold G5620 @ 4.00GHz,Gigabyte GA-Z270MX-Gaming 5,GeForce RTX 3070 Ti,Corsair Vengeance LPX 256 GB,Corsair RM850 (2019),3859.62,Professional,28.122846290567466
Intel Core i3-10305 @ 3.80GHz,Asus ROG STRIX Z590-F GAMING WIFI,GeForce RTX 3080 Ti,G.Skill Trident Z5 RGB 32 GB,Cooler Master XG850 Plus,2062.4,Multimedia,23.896673778122576
Intel Core i7-10700K @ 3.80GHz,ASRock H510M-ITX/ac,Radeon RX 560,Corsair Dominator Platinum RGB 32 GB,Antec EARTHWATTS GOLD PRO 650,1060.89,All-in-One,25.678628321503645
AMD Athlon X4 950,ASRock B550M Phantom Gaming 4,GeForce RTX 3080,Crucial CT32G52C42U5 32 GB,EVGA 600 BR,1310.75,Gaming,12.762311653633414
Intel Core i7-11700F @ 2.50GHz,Gigabyte Z590 AORUS ELITE AX,Radeon Pro WX 8200,G.Skill Trident Z RGB 32 GB,ADATA XPG PYLON,2790.36,All-in-One,13.141458449805759
Intel Core i9-12900F,MSI MAG B660M BAZOOKA DDR4,GeForce RTX 3070,Neo Forza FAYE 16 GB,EVGA SuperNOVA 550 GA,1652.81,All-in-One,25.55272535863167
Intel Core i7-8700 @ 3.20GHz,ASRock H310CM-HDV/M.2,Radeon RX 570X,G.Skill Trident Z RGB 128 GB,Corsair CX750M (2021),1134.0800000000002,Office,59.23038939051918
Intel Core i7-12700F,Asus PRIME Z790M-PLUS D4,Radeon RX 550,Silicon Power XPOWER Zenith RGB Gaming 32 GB,Thermaltake Toughpower GF3 TT Premium,912.6600000000001,Professional,22.614116976749283
Intel Core i3-12100T,Gigabyte B660 AORUS Master,GeForce GTX 1660 Ti,Corsair Dominator Platinum RGB 32 GB,SeaSonic SS-400ET Bronze,1099.98,Multimedia,34.2401680030546
Intel Core i9-7920X @ 2.90GHz,Supermicro C9X299-PG300F,Radeon VII,G.Skill Trident Z Royal 32 GB,Corsair GS700,3615.0599999999995,All-in-One,9.710986816263079
Intel Core i5-8400T @ 1.70GHz,Gigabyte GA-Z270MX-Gaming 5,Radeon RX 580,Corsair Vengeance LPX 64 GB,SeaSonic FOCUS SGX (2021),2914.4700000000003,Gaming,5.859796120735501
Intel Core i5-10500T @ 2.30GHz,Asus Z590 WIFI GUNDAM EDITION,GeForce GTX 1080 Ti,Crucial CT2KIT12864AA800 2 GB,EVGA SuperNOVA 850 G6,1161.12,Office,12.791098249965552
AMD A8-9600,Asus TUF GAMING B450M-PLUS II,Radeon Pro WX 8200,Corsair Dominator Platinum RGB 64 GB,EVGA SuperNOVA 850 G6,2252.3500000000004,All-in-One,15.864408284680442
Intel Core i9-12900KF,Asus TUF GAMING B660-PLUS WIFI D4,Radeon RX 6600 XT,VisionTek 900390 2 GB,Rosewill Glacier 850M,1514.94,Multimedia,40.20060200403977
AMD Ryzen 7 PRO 4750G,MSI MAG B550M MORTAR WIFI,GeForce RTX 3060,Corsair Dominator Platinum 32 GB,Corsair HX750 Platinum,2877.7,Professional,12.891892831080378
Intel Core i5-9600 @ 3.10GHz,Supermicro X11SCL-IF,Radeon RX 590,Kingston ValueRAM 16 GB,Silverstone SFX,1192.47,Office,19.208868986221876
Intel Pentium Gold G5500T @ 3.20GHz,ASRock Z370 Extreme4,NVIDIA TITAN Xp,Corsair CMV4GX3M1A1600C11 4 GB,Corsair TX850,3234.58,Multimedia,10.66506316121413
AMD Athlon 3000G,ASRock X570 Steel Legend,GeForce GT 1030,Kingston FURY Beast 16 GB,Rosewill HIVE,564.95,Office,32.558633507390034
Intel Core i9-10900T @ 1.90GHz,Asus PRIME H510M-D,Radeon RX 5500 XT,Corsair Vengeance RGB RT 128 GB,EVGA 750 B5,1598.99,Gaming,17.30192183816034
Intel Core i3-8100T @ 3.10GHz,MSI Z270-A PRO,Radeon RX 5500 XT,Patriot Viper SODIMM 8 GB,SeaSonic FOCUS,1389.87,All-in-One,17.857641362141788
AMD Ryzen 7 5800X,Asus PRIME A520M-K,Radeon RX 560,Kingston FURY Beast 16 GB,be quiet! Dark Power Pro 11,877.14,Gaming,24.67519438174066
AMD Ryzen 5 5600X,Asus PRIME A320M-E,GeForce GTX 1080 Ti,Kingston ValueRAM 8 GB,MSI MEG Ai1300P PCIE5,1367.44,Office,17.157608377698473
AMD Ryzen 7 4700G,Gigabyte A520M S2H,Radeon RX 590,Patriot Signature Apple Line 8 GB,EVGA 750 B5,1140.97,Professional,20.53734979885536
Intel Core i9-10900K @ 3.70GHz,ASRock B460M-HDV,Radeon RX 6800,G.Skill Ripjaws S5 32 GB,SeaSonic PRIME PX,1859.94,Multimedia,30.261191221222187
AMD Ryzen 3 3100,MSI MPG X570S CARBON MAX WIFI,GeForce GTX 1650 SUPER,Crucial CT64G4YFQ426S 64 GB,Corsair RM750,1705.75,All-in-One,21.815858126923644
Intel Core i5-11500 @ 2.70GHz,Asus TUF GAMING B560M-PLUS,GeForce GTX 1650,Crucial CT102464BF186D 8 GB,Thermaltake Smart RGB,688.85,All-in-One,36.04935762502722
AMD Ryzen 5 1600,ASRock X370 GAMING X,Radeon RX 6900 XT,TEAMGROUP Elite Plus 16 GB,Corsair RM750x (2021),1738.1,Multimedia,29.823945687820036
Intel Core i3-10300T @ 3.00GHz,MSI MEG Z590 UNIFY,GeForce RTX 2060 SUPER,Crucial CT32G4LFQ4213 32 GB,SeaSonic SS-400ET Bronze,1050.15,Office,25.615388277865065
AMD Ryzen 9 5900X,ASRock B450M/AC,GeForce GTX 1650 SUPER,Corsair Vengeance RGB 48 GB,Fractal Design Anode Bronze,1273.77,Multimedia,43.154180111009055
Intel Core i3-12100T,ASRock Z690 Pro RS,Radeon RX 590,TEAMGROUP T-Force Zeus 64 GB,MSI MPG A650GF,1023.96,Office,44.993945075979525
AMD Ryzen 9 5950X,MSI MAG A520M VECTOR WIFI,Radeon RX Vega 56,Neo Forza FAYE 16 GB,SeaSonic S12II,1916.95,Gaming,15.672448420668248
Intel Pentium Gold G6400 @ 4.00GHz,MSI Z490-A PRO,GeForce GTX 1650 SUPER,TEAMGROUP T-Create Classic 32 GB,Corsair RM1000,1218.83,Gaming,12.225330850077535
Intel Core i3-10320 @ 3.80GHz,ASRock H470M-HDV/M.2,GeForce RTX 3060 Ti,Corsair Vengeance RGB RT 16 GB,SeaSonic S12III,954.75,Professional,35.74024613773239
Intel Core i9-10920X @ 3.50GHz,Asus ROG Strix X299-E Gaming II,Radeon Pro WX 8200,G.Skill Trident Z RGB 16 GB,Cooler Master MasterWatt,2911.66,Professional,9.731562064252008
Intel Core i9-11900F @ 2.50GHz,Asus ROG STRIX Z590-E GAMING WIFI,GeForce GTX 1660 Ti,G.Skill Trident Z 32 GB,EVGA SuperNOVA 850 G2,1516.21,Office,22.40322910414784
AMD Ryzen 3 2300X,Asus ROG Crosshair VIII Hero,Radeon RX 590,Kingston FURY Beast 64 GB,SeaSonic PRIME PX-1600 ATX 3.0,1848.0500000000002,All-in-One,20.11536484402478
Intel Core i9-11900K @ 3.50GHz,Gigabyte Z590 AORUS ELITE AX,Radeon Pro W5700,Corsair Vengeance 8 GB,EVGA 600 BQ,2541.9399999999996,Professional,11.055532388648045
Intel Core i3-9100 @ 3.60GHz,ASRock B365M-HDV,Radeon Pro WX 8200,G.Skill Trident Z RGB 32 GB,be quiet! Dark Power 13,2346.73,Professional,14.119647339063294
AMD Ryzen 5 2400G,MSI MEG B550 UNIFY-X,Radeon RX 6900 XT,TEAMGROUP T-Force Xtreem ARGB 64 GB,Silverstone HELA 1200R,2022.58,Office,19.058825856084805
Intel Core i5-10500T @ 2.30GHz,Asus ROG STRIX Z590-F GAMING WIFI,Radeon RX 580,TEAMGROUP T-Create Classic 32 GB,EVGA SuperNOVA 650 GT,1082.75,Multimedia,36.26183329485107
AMD Athlon 240GE,Asus ProArt X570-CREATOR WIFI,Radeon RX 5500 XT,TEAMGROUP T-Force Vulcan Z 64 GB,SeaSonic PRIME Ultra Platinum 750,1368.96,Gaming,12.038116526414212
Intel Core i3-9100F @ 3.60GHz,Asus PRIME Z390-A,GeForce RTX 3090,Mushkin Essentials 8 GB,EVGA SuperNOVA 650 P6,2380.5299999999997,All-in-One,13.967729875279877
Intel Core i7-12700KF,Asus TUF GAMING Z790-PLUS WIFI,Radeon RX 560,G.Skill Trident Z5 RGB 48 GB,Silverstone HELA 850R,1374.96,Professional,19.140193169255834
AMD Ryzen 7 5700G,Gigabyte X570 AORUS XTREME,Radeon Pro WX 8200,Kingston FURY Beast RGB 16 GB,SeaSonic PRIME TX-750,3107.33,Multimedia,15.071620973633316
Intel Core i5-11500T @ 1.50GHz,ASRock H570 Steel Legend,Radeon RX 6800,TEAMGROUP T-Create Classic 64 GB,EVGA 500 BR,1296.85,All-in-One,35.03828507537495
Intel Core i9-12900T,Biostar Z690A VALKYRIE,Radeon RX 5700 XT,G.Skill Trident Z RGB 32 GB,SeaSonic PRIME PX,2069.23,Gaming,14.915354987120812
Intel Celeron G5925 @ 3.60GHz,Asus TUF GAMING B560M-PLUS WIFI,Radeon RX 5600 XT,Corsair CMV8GX3M1A1600C11 8 GB,EVGA GE,886.37,Office,19.05750420253393
Intel Core i9-12900K,Gigabyte Z690 AORUS ELITE DDR4,NVIDIA TITAN Xp,Kingston ValueRAM 1 GB,Antec Earthwatts,2643.0699999999997,All-in-One,13.896491579867352
AMD Ryzen 9 3950X,Gigabyte B450M DS3H,GeForce RTX 2080 SUPER,G.Skill Trident Z5 Neo 32 GB,SeaSonic VERTEX GX-1200,1911.96,Multimedia,31.45384840687044
Intel Core i3-12100T,Gigabyte Z790 AERO G,Radeon R5 330,Kingston KVR16R11D4/8HC 8 GB,Cooler Master V850 SFX GOLD,907.97,Professional,7.331189356476535
Intel Core i5-8600K @ 3.60GHz,ASRock H310CM-HDV/M.2,TITAN V,Patriot Signature 8 GB,Corsair TX850M Gold,2804.24,Multimedia,14.156241976435686
AMD A12-9800E,Gigabyte B550M DS3H AC,GeForce GTX 1660,Corsair Vengeance RGB 64 GB,Asus ROG THOR P2 Gaming EVA Edition,1554.01,Multimedia,25.716372481515563
Intel Core i5-12500T,Biostar H610MH,Radeon R5 330,Mushkin Proline 16 GB,Enermax REVOLUTION D.F. 2,827.7600000000001,Office,33.956702425823906
Intel Core i7-12700K,Gigabyte Z690 AERO G,GeForce GTX 1060 5GB,Corsair Vengeance LPX 16 GB,Enermax Platimax,1476.96,All-in-One,22.65450655400282
AMD Ryzen 3 3100,ASRock X570 Steel Legend WiFi ax,GeForce GTX 1070 Ti,Corsair Vengeance LPX 16 GB,Corsair SF450,1017.6,Office,20.59944968553459
Intel Core i5-10500T @ 2.30GHz,EVGA Z590 DARK,Radeon Pro W5700,PNY XLR8 Gaming EPIC-X RGB 16 GB,Silverstone Strider Platinum,2850.9699999999993,Office,7.1736987762059945
Intel Core i7-10700KF @ 3.80GHz,Asus TUF GAMING B560M-PLUS WIFI,Radeon Vega Frontier Edition,G.Skill Sniper X 32 GB,SeaSonic VERTEX GX-1000,2589.5899999999997,All-in-One,13.187493000822526
AMD Ryzen 3 3200G,Asus ROG STRIX B550-A GAMING,TITAN V,G.Skill Trident Z RGB (For AMD) 64 GB,Corsair CXM,2675.9800000000005,Gaming,7.793481266676132
Intel Celeron G5905T @ 3.30GHz,ASRock Z590 Extreme WiFi 6E,Radeon RX 550,G.Skill Trident Z Royal 16 GB,Corsair CX450 (2017),735.24,Multimedia,30.07861378597465
Intel Core i9-12900F,Asus PRIME Z790-P WIFI,GeForce RTX 3060 Ti,Corsair Vengeance RGB Pro SL 16 GB,Enermax Revolution D.F.,1575.93,All-in-One,26.458281776474845
AMD Ryzen 7 3700X,MSI MPG X570 GAMING PRO CARBON WIFI,Radeon RX 590,G.Skill Trident Z Royal 16 GB,Thermaltake Toughpower GF2 ARGB,1606.11,All-in-One,19.44835658827851
AMD PRO A12-9800E,MSI MAG X570S TOMAHAWK MAX WIFI,GeForce RTX 3090,Corsair Vengeance RGB Pro 32 GB,EVGA SuperNOVA 650 G7,2468.4699999999993,Office,8.955344808727677
Intel Core i9-12900T,Asus TUF GAMING B660M-PLUS WIFI D4,Radeon RX 6700 XT,Crucial CT16G4SFD8266 16 GB,Corsair CX500M,1462.5400000000002,Professional,23.64140467953013
AMD Athlon X4 950,Asus PRIME A520M-E,Radeon RX 560,Kingston KVR16LR11S8K4/16 16 GB,Thermaltake Smart,852.0699999999999,All-in-One,21.227129226472005
AMD Ryzen 9 3900X,Asus TUF GAMING A520M-PLUS,GeForce GTX 1660,Mushkin Silverline 4 GB,be quiet! Dark Power Pro 11,1084.89,Professional,21.170349067647408
Intel Core i7-10700 @ 2.90GHz,ASRock Z490 Phantom Gaming-ITX/TB3,Radeon Pro WX 8200,Corsair Dominator Platinum RGB 64 GB,Corsair CX430M,2433.65,Gaming,10.060115464425861
Intel Core i3-10105T @ 3.00GHz,Asus TUF GAMING H570-PRO WIFI,Radeon RX Vega 56,G.Skill Trident Z Royal 256 GB,be quiet! Pure Power 12 M,1892.88,Professional,52.45868729132327
AMD Ryzen 9 3900,Asus ROG Crosshair VIII Extreme,Radeon Pro WX 8200,Kingston FURY Beast 64 GB,Corsair RM550x,3576.0699999999997,Gaming,7.7492890239844305
Intel Core i7-10700KF @ 3.80GHz,Asus ROG MAXIMUS XIII HERO,Radeon RX 6800,TEAMGROUP T-Force Xtreem ARGB 16 GB,SeaSonic FOCUS SGX (2021),1628.94,All-in-One,23.25070291109556
Intel Pentium Gold G6500T @ 3.50GHz,Asus ROG MAXIMUS XII FORMULA,GeForce GTX 1080 Ti,Patriot Signature Line 16 GB,Montech TITAN GOLD 1200W,1593.13,Multimedia,25.71196324217107
AMD Ryzen 9 3950X,Asus ProArt X570-CREATOR WIFI,GeForce GTX 1060 5GB,Kingston ValueRAM 16 GB,MSI MPG A850G PCIE5,1793.98,Professional,12.682415634510976
Intel Core i5-12600,MSI MPG Z790 EDGE WIFI,GeForce GTX 1660 Ti,PNY XLR8 Gaming EPIC-X RGB 16 GB,PowerSpec GFM,1118.92,All-in-One,28.27583741464984
Intel Core i9-11900K @ 3.50GHz,Asus ROG STRIX Z590-I GAMING WIFI,GeForce RTX 3080,G.Skill Ripjaws V 64 GB,Silverstone Strider,2163.85,Office,21.588372576657346
Intel Core i9-10850K @ 3.60GHz,MSI MPG Z590 GAMING EDGE WIFI,Radeon RX 570X,TEAMGROUP T-Force Xtreem ARGB 16 GB,Corsair VX550,1327.2400000000002,Gaming,13.838039842078295
AMD Ryzen 5 2400G,Asus ROG STRIX B550-F GAMING,GeForce GTX 1660 SUPER,Patriot Signature Apple Line 8 GB,SHARKOON SilentStorm,861.19,Office,18.75079831396091
Intel Pentium Gold G6500 @ 4.10GHz,MSI MAG Z590 TORPEDO,GeForce RTX 2080 Ti,G.Skill Trident Z Royal Elite 32 GB,ADATA XPG CYBERCORE,1816.85,Gaming,10.158185871150618
Intel Pentium Gold G5500 @ 3.80GHz,Asus ROG MAXIMUS XI FORMULA,GeForce GT 1030,G.Skill Ripjaws S5 64 GB,Thermaltake Toughpower SFX,1327.36,Professional,22.18878073770492
AMD Ryzen 7 2700X,Asus ROG Crosshair VIII Formula,GeForce RTX 3070 Ti,Mushkin Essentials 4 GB,be quiet! Straight Power 11 850W,1680.5,All-in-One,20.18506396905683
AMD Athlon X4 950,Gigabyte B550M AORUS PRO,GeForce RTX 3090,G.Skill Ripjaws S5 64 GB,be quiet! Dark Power Pro 13,2773.86,All-in-One,15.180001874643997
AMD Ryzen 3 2300X,Asus TUF GAMING B550M-PLUS,Radeon Pro W5500,Corsair Vengeance LPX 8 GB,Enermax MAXREVO SLI,1224.0500000000002,Gaming,10.573505984232668
AMD Ryzen 9 3900XT,ASRock X370 Killer SLI,GeForce RTX 2080,Crucial Pro 32 GB,Corsair RM750 (2019),1816.73,Multimedia,30.997726684757776
Intel Core i7-11700 @ 2.50GHz,Gigabyte Z590 AORUS TACHYON,GeForce GTX 1080 Ti,Patriot Extreme Performance 32 GB,Corsair RM750x,1625.03,All-in-One,24.089647575737068
AMD Ryzen 7 5800X3D,ASRock B550 Phantom Gaming-ITX/ax,Radeon Pro WX 8200,G.Skill F5-5600J2834F32GX2-TZ5RK 64 GB,EVGA SuperNOVA 650 G6,2709.63,Multimedia,19.232884194521027
Intel Pentium Gold G6400 @ 4.00GHz,ASRock Z590 Phantom Gaming-ITX/TB4,GeForce RTX 2060 SUPER,ADATA XPG SPECTRIX D50 32 GB,PowerSpec PS 650GSM,989.48,All-in-One,33.46889275174839
Intel Core i3-7101TE @ 3.40GHz,ASRock C246M WS,Radeon RX 6800,G.Skill Trident Z RGB 32 GB,Lian Li SP,1324.96,Multimedia,34.98633921024031
AMD Ryzen 3 2300X,Asus PRIME X570-P,Radeon Pro W5500,Neo Forza Trinity 32 GB,SeaSonic FOCUS GX,1386.0300000000002,All-in-One,23.386939676630377
Intel Core i5-12600,ASRock Z690 Steel Legend WiFi 6E,GeForce RTX 2060 SUPER,Kingston KVR24R17S8/8MA 8 GB,Cooler Master V750 SFX GOLD,1121.83,Multimedia,41.64980433755561
Intel Core i5-10500T @ 2.30GHz,MSI Z590 PRO WIFI,GeForce RTX 3070,Corsair Vengeance LPX 32 GB,Super Flower Leadex V Platinum Pro,2262.83,All-in-One,16.331584785423566
Intel Core i5-11600T @ 1.70GHz,MSI Z590-A PRO,Radeon Pro W5700,G.Skill Ripjaws S5 64 GB,SeaSonic PRIME Ultra Platinum 1000,2581.28,All-in-One,16.579293993677556
Intel Core i3-7350K @ 4.20GHz,Asus ROG STRIX Z390-E GAMING,GeForce GTX 1660 SUPER,Mushkin Redline 32 GB,Super Flower Leadex III Super Pro,1173.27,Multimedia,32.83941462749411
Intel Pentium Gold G6405T @ 3.50GHz,MSI MEG Z590 UNIFY,GeForce RTX 2070,Crucial CT8G4DFRA266 8 GB,be quiet! Pure Power 11,957.5000000000001,All-in-One,27.81932114882506
Intel Core i7-11700K @ 3.60GHz,ASRock H510M-ITX/ac,GeForce RTX 2060 SUPER,G.Skill Trident Z Royal 64 GB,Corsair RM850,1726.87,Office,26.738550093521805
Intel Core i7-10700T @ 2.00GHz,Asus ROG STRIX Z590-A GAMING WIFI,GeForce GTX 1650 SUPER,Timetec PINNACLE Konduit RGB 32 GB,EVGA SuperNOVA 1600 P+,1561.8,Professional,19.10359841208862
Intel Core i3-10100 @ 3.60GHz,ASRock B560M Pro4,Radeon Pro W5700,OLOy WarHawk RGB 32 GB,Silverstone Essential,2192.5499999999997,Professional,16.10111513990559
Intel Core i9-12900T,Gigabyte H610M S2H DDR4,Radeon RX 5500 XT,Corsair Vengeance 32 GB,Silverstone Strider Platinum S,1433.05,Multimedia,37.44426223788423
Intel Core i7-12700,MSI MPG Z690 EDGE WIFI,Radeon Pro W5700,G.Skill Trident Z RGB 128 GB,Cooler Master XG750 Plus,3013.06,All-in-One,20.246792297531414
AMD Ryzen 7 5700X,ASRock X470 Master SLI,GeForce GTX 1660,Kingston KVR16R11D8/4HC 4 GB,Thermaltake Smart Pro RGB,1283.6,Multimedia,35.659473356185735
Intel Pentium Gold G6600 @ 4.20GHz,Asus TUF GAMING H570-PRO WIFI,GeForce GTX 1660 SUPER,Kingston FURY Beast 64 GB,Corsair HX1000i,1231.5,Professional,34.125862768980916
Intel Core i7-11700F @ 2.50GHz,MSI Z490-A PRO,GeForce RTX 3080 Ti,Silicon Power SP008GBLFU213B02 8 GB,Corsair SF750,1891.21,Professional,19.280513533663633
